time,ha_open,ha_high,ha_low,ha_close,supertrend,trend
2026-05-05 17:15:00,81236.64305737203,81422.5,81236.64305737203,81331.875,80791.00725675935,1.0
2026-05-05 17:30:00,81284.259028686,81370.5,81210.0,81300.125,80791.00725675935,1.0
2026-05-05 17:45:00,81292.192014343,81310.5,81197.5,81245.5,80791.00725675935,1.0
2026-05-05 18:00:00,81268.8460071715,81564.5,81225.5,81382.875,80791.00725675935,1.0
2026-05-05 18:15:00,81325.86050358575,81530.0,81325.86050358575,81457.25,80791.00725675935,1.0
2026-05-05 18:30:00,81391.55525179287,81492.0,81370.5,81435.25,80791.00725675935,1.0
2026-05-05 18:45:00,81413.40262589644,81511.5,81359.5,81450.875,80791.00725675935,1.0
2026-05-05 19:00:00,81432.13881294822,81477.0,81350.0,81424.875,80791.00725675935,1.0
2026-05-05 19:15:00,81428.50690647411,81542.0,81376.0,81454.375,80814.86073905625,1.0
2026-05-05 19:30:00,81441.44095323706,81624.5,81441.44095323706,81549.125,80898.32742774028,1.0
2026-05-05 19:45:00,81495.28297661853,81636.5,81471.0,81568.25,80932.92125600958,1.0
2026-05-05 20:00:00,81531.76648830927,81732.0,81458.0,81598.0,80954.05413040862,1.0
2026-05-05 20:15:00,81564.88324415463,81647.5,81495.0,81574.75,80954.05413040862,1.0
2026-05-05 20:30:00,81569.81662207731,81700.0,81490.0,81577.375,80971.65884563098,1.0
2026-05-05 20:45:00,81573.59581103866,81629.0,81519.0,81592.625,80979.99296106788,1.0
2026-05-05 21:00:00,81583.11040551933,81745.0,81549.5,81612.75,81053.99366496109,1.0
2026-05-05 21:15:00,81597.93020275966,81614.0,81405.5,81497.125,81053.99366496109,1.0
2026-05-05 21:30:00,81547.52760137983,81547.52760137983,81266.0,81362.875,81053.99366496109,1.0
2026-05-05 21:45:00,81455.20130068992,81473.0,81302.5,81361.375,81053.99366496109,1.0
2026-05-05 22:00:00,81408.28815034496,81564.5,81310.0,81397.625,81053.99366496109,1.0
2026-05-05 22:15:00,81402.95657517249,81486.0,81269.5,81368.25,81053.99366496109,1.0
2026-05-05 22:30:00,81385.60328758624,81390.0,80748.5,81125.75,81053.99366496109,1.0
2026-05-05 22:45:00,81255.67664379312,81316.0,80940.0,81076.25,81053.99366496109,1.0
2026-05-05 23:00:00,81165.96332189656,81177.0,80972.0,81099.25,81053.99366496109,1.0
2026-05-05 23:15:00,81132.60666094828,81171.5,80825.5,81002.0,81801.35638075994,-1.0
2026-05-05 23:30:00,81067.30333047414,81067.30333047414,80732.0,80840.375,81722.81340706325,-1.0
2026-05-05 23:45:00,80953.83916523706,80953.83916523706,80834.5,80878.75,81670.81689983323,-1.0
2026-05-06 00:00:00,80916.29458261853,81219.5,80838.5,81005.125,81670.81689983323,-1.0
2026-05-06 00:15:00,80960.70979130926,81225.5,80872.0,81020.75,81670.81689983323,-1.0
2026-05-06 00:30:00,80990.72989565463,80999.5,80850.0,80893.25,81670.81689983323,-1.0
2026-05-06 00:45:00,80941.98994782731,81036.0,80686.0,80888.375,81670.81689983323,-1.0
2026-05-06 01:00:00,80915.18247391365,81121.5,80915.18247391365,81039.375,81670.81689983323,-1.0
2026-05-06 01:15:00,80977.27873695683,81304.5,80977.27873695683,81182.375,81670.81689983323,-1.0
2026-05-06 01:30:00,81079.82686847841,81300.0,81079.82686847841,81238.375,81670.81689983323,-1.0
2026-05-06 01:45:00,81159.1009342392,81485.0,81159.1009342392,81352.75,81670.81689983323,-1.0
2026-05-06 02:00:00,81255.92546711961,81400.0,81199.5,81316.875,81670.81689983323,-1.0
2026-05-06 02:15:00,81286.4002335598,81286.4002335598,81078.5,81181.875,81670.81689983323,-1.0
2026-05-06 02:30:00,81234.1376167799,81234.1376167799,81000.0,81119.0,81670.81689983323,-1.0
2026-05-06 02:45:00,81176.56880838994,81351.5,81154.0,81246.75,81670.81689983323,-1.0
2026-05-06 03:00:00,81211.65940419497,81425.5,81211.65940419497,81353.25,81670.81689983323,-1.0
2026-05-06 03:15:00,81282.45470209749,81716.5,81282.45470209749,81493.375,81670.81689983323,-1.0
2026-05-06 03:30:00,81387.91485104874,81655.5,81387.91485104874,81552.625,81670.81689983323,-1.0
2026-05-06 03:45:00,81470.26992552436,81595.0,81437.5,81517.125,81670.81689983323,-1.0
2026-05-06 04:00:00,81493.69746276218,81599.0,81473.0,81537.375,81670.81689983323,-1.0
2026-05-06 04:15:00,81515.53623138109,81566.0,81374.0,81466.625,81670.81689983323,-1.0
2026-05-06 04:30:00,81491.08061569055,81491.08061569055,81289.5,81357.375,81670.81689983323,-1.0
2026-05-06 04:45:00,81424.22780784528,81460.5,81223.5,81331.75,81670.81689983323,-1.0
2026-05-06 05:00:00,81377.98890392264,81377.98890392264,81206.5,81256.25,81670.81689983323,-1.0
2026-05-06 05:15:00,81317.11945196132,81317.11945196132,81184.5,81229.125,81670.81689983323,-1.0
2026-05-06 05:30:00,81273.12222598065,81273.12222598065,81005.5,81142.5,81670.81689983323,-1.0
2026-05-06 05:45:00,81207.81111299033,81286.0,81124.0,81203.25,81670.81689983323,-1.0
2026-05-06 06:00:00,81205.53055649516,81352.5,81178.0,81251.75,81670.81689983323,-1.0
2026-05-06 06:15:00,81228.64027824758,81358.0,81154.5,81264.5,81670.81689983323,-1.0
2026-05-06 06:30:00,81246.5701391238,81430.0,81246.5701391238,81369.375,81670.81689983323,-1.0
2026-05-06 06:45:00,81307.9725695619,81474.5,81307.9725695619,81435.875,81670.81689983323,-1.0
2026-05-06 07:00:00,81371.92378478096,81571.5,81371.92378478096,81457.5,81670.81689983323,-1.0
2026-05-06 07:15:00,81414.71189239048,81558.5,81414.71189239048,81473.75,81670.81689983323,-1.0
2026-05-06 07:30:00,81444.23094619524,81500.5,81359.0,81434.375,81670.81689983323,-1.0
2026-05-06 07:45:00,81439.30297309763,81439.30297309763,81269.0,81354.0,81670.81689983323,-1.0
2026-05-06 08:00:00,81396.65148654881,81595.0,81280.0,81429.625,81670.81689983323,-1.0
2026-05-06 08:15:00,81413.13824327441,81545.0,81413.13824327441,81508.375,81670.81689983323,-1.0
2026-05-06 08:30:00,81460.7566216372,81849.0,81460.7566216372,81644.125,81670.81689983323,-1.0
2026-05-06 08:45:00,81552.4408108186,81944.5,81552.4408108186,81772.875,81048.25126537704,1.0
2026-05-06 09:00:00,81662.6579054093,81922.0,81662.6579054093,81826.25,81084.3290982984,1.0
2026-05-06 09:15:00,81744.45395270464,81826.5,81625.0,81738.0,81084.3290982984,1.0
2026-05-06 09:30:00,81741.22697635232,82019.5,81718.5,81864.25,81150.81511793095,1.0
2026-05-06 09:45:00,81802.73848817617,81984.5,81718.5,81911.625,81150.81511793095,1.0
2026-05-06 10:00:00,81857.18174408808,82090.5,81857.18174408808,81994.0,81250.29564079453,1.0
2026-05-06 10:15:00,81925.59087204403,82221.5,81925.59087204403,82080.5,81333.58198951067,1.0
2026-05-06 10:30:00,82003.04543602202,82268.0,82003.04543602202,82180.5,81390.0692469574,1.0
2026-05-06 10:45:00,82091.77271801101,82358.5,82091.77271801101,82223.75,81474.21005046055,1.0
2026-05-06 11:00:00,82157.7613590055,82447.5,82157.7613590055,82319.375,81539.87540951394,1.0
2026-05-06 11:15:00,82238.56817950275,82811.5,82238.56817950275,82551.625,81666.67480061227,1.0
2026-05-06 11:30:00,82395.09658975137,82740.0,82395.09658975137,82573.625,81691.5539115759,1.0
2026-05-06 11:45:00,82484.36079487568,82556.0,82435.5,82483.5,81691.5539115759,1.0
2026-05-06 12:00:00,82483.93039743784,82508.0,82150.0,82323.375,81691.5539115759,1.0
2026-05-06 12:15:00,82403.65269871891,82454.0,82135.5,82272.75,81691.5539115759,1.0
2026-05-06 12:30:00,82338.20134935946,82397.5,82255.5,82328.25,81691.5539115759,1.0
2026-05-06 12:45:00,82333.22567467974,82385.0,82124.5,82251.625,81691.5539115759,1.0
2026-05-06 13:00:00,82292.42533733987,82292.42533733987,81792.0,82059.5,81691.5539115759,1.0
2026-05-06 13:15:00,82175.96266866993,82175.96266866993,81838.5,81987.5,81691.5539115759,1.0
2026-05-06 13:30:00,82081.73133433497,82081.73133433497,81727.5,81881.5,81691.5539115759,1.0
2026-05-06 13:45:00,81981.61566716748,81981.61566716748,81540.0,81730.625,81691.5539115759,1.0
2026-05-06 14:00:00,81856.12033358373,81856.12033358373,81075.5,81439.25,82559.82623489959,-1.0
2026-05-06 14:15:00,81647.68516679187,81713.5,81259.5,81487.125,82559.82623489959,-1.0
2026-05-06 14:30:00,81567.40508339593,81832.5,81555.0,81696.75,82559.82623489959,-1.0
2026-05-06 14:45:00,81632.07754169797,81934.0,81442.5,81670.25,82559.82623489959,-1.0
2026-05-06 15:00:00,81651.16377084899,81651.16377084899,81261.0,81419.125,82559.82623489959,-1.0
2026-05-06 15:15:00,81535.1443854245,81780.0,81364.5,81532.375,82559.82623489959,-1.0
2026-05-06 15:30:00,81533.75969271225,81705.5,81430.0,81582.25,82559.82623489959,-1.0
2026-05-06 15:45:00,81558.00484635613,81733.0,81558.00484635613,81635.875,82559.82623489959,-1.0
2026-05-06 16:00:00,81596.93992317806,81852.0,81532.5,81686.625,82559.82623489959,-1.0
2026-05-06 16:15:00,81641.78246158903,81783.5,81641.78246158903,81744.125,82559.82623489959,-1.0
